date_scraped,company_name,uei,duns,recipient_id,city,state,zip,parent_company,business_types,award_amount_12mo,match_source,small_business,usaspending_url
2026-07-01,"ADVANCED IT CONCEPTS, LLC",KKCWYU7SQ2D4,807675603,cce58d7b-0db1-3012-746c-6c3456ca8dcb-C,ORLANDO,FL,32809,ADVANCED IT CONCEPTS INC,8a_program_participant; category_business; corporate_entity_not_tax_exempt; hispanic_american_owned_business; limited_liability_corporation; minority_owned_business; self_certified_small_disadvanted_business; service_disabled_veteran_owned_business; small_business; special_designations; subchapter_s_corporation; us_owned_business; veteran_owned_business,19276720.88,naics_541512,True,https://www.usaspending.gov/recipient/cce58d7b-0db1-3012-746c-6c3456ca8dcb-C/latest
2026-07-01,"BLUE IVY PARTNERS, LLC",JZR9XYGMPLY5,078440784,b2bd0016-6aa0-e48d-14d6-d528229fa741-C,ARLINGTON,VA,22203,"BLUE IVY PARTNERS, LLC",category_business; limited_liability_corporation; partnership_or_limited_liability_partnership; service_disabled_veteran_owned_business; small_business; special_designations; us_owned_business; veteran_owned_business,16529914.85,naics_541512,True,https://www.usaspending.gov/recipient/b2bd0016-6aa0-e48d-14d6-d528229fa741-C/latest
2026-07-01,LIGHTGRID LLC,F47XKV1VY633,963323170,70747000-2d8e-e2cd-8c2a-5e907a1ebf94-C,VIRGINIA BEACH,VA,23451,LIGHTGRID LLC,category_business; historically_underutilized_business_firm; partnership_or_limited_liability_partnership; small_business; special_designations; subchapter_s_corporation; us_owned_business,16496378.54,naics_541512,True,https://www.usaspending.gov/recipient/70747000-2d8e-e2cd-8c2a-5e907a1ebf94-C/latest
2026-07-01,BUSINESS COMPUTERS MANAGEMENT CONSULTING GROUP (BCMC) LLC,ZX3NX9CBJXA6,793511507,a90cfb28-6455-8f30-3eb0-0b601b082057-C,FALLS CHURCH,VA,22042,BUSINESS COMPUTERS MANAGEMENT CONSULTING GROUP (BCMC) LLC,8a_program_participant; asian_pacific_american_owned_business; category_business; corporate_entity_not_tax_exempt; limited_liability_corporation; minority_owned_business; self_certified_small_disadvanted_business; small_business; special_designations; us_owned_business,15516109.67,naics_541512,True,https://www.usaspending.gov/recipient/a90cfb28-6455-8f30-3eb0-0b601b082057-C/latest
2026-07-01,"ASK SAGE, INC.",W9X4EWLUBAW1,,fe3ed3a8-1fd7-e9f3-ff38-3b7fce9ae5cb-C,BENTONVILLE,VA,22610,"ASK SAGE, INC.",category_business; corporate_entity_not_tax_exempt; small_business; special_designations; us_owned_business,15218857.62,naics_541512,True,https://www.usaspending.gov/recipient/fe3ed3a8-1fd7-e9f3-ff38-3b7fce9ae5cb-C/latest
2026-07-01,INTEGRATED SECURITY SOLUTIONS INC,YWLLJBHSE9A4,044574767,b3b7e713-a452-1eea-cdf8-16263d56fcad-C,KALISPELL,MT,59901,PAVION CORP.,category_business; corporate_entity_not_tax_exempt; small_business; special_designations; us_owned_business; veteran_owned_business,15187693.43,naics_541512,True,https://www.usaspending.gov/recipient/b3b7e713-a452-1eea-cdf8-16263d56fcad-C/latest
2026-07-01,AGE SOLUTIONS LLC,JA6DRAGJ4JJ1,117926813,79852dcf-d997-12d3-e462-ee407e72de8a-C,ALEXANDRIA,VA,22310,AGE SOLUTIONS LLC,category_business; limited_liability_corporation; partnership_or_limited_liability_partnership; small_business; special_designations; us_owned_business,14529267.98,naics_541512,True,https://www.usaspending.gov/recipient/79852dcf-d997-12d3-e462-ee407e72de8a-C/latest
2026-07-01,"KWAAN BEAR IT SOLUTIONS, LLC",ECN9QQAS3RR7,117732440,17db4433-7581-a56e-ff3f-62a94306d305-C,ALEXANDRIA,VA,22312,"KWAAN BEAR IT SOLUTIONS, LLC",8a_program_participant; alaskan_native_corporation_owned_firm; category_business; corporate_entity_not_tax_exempt; limited_liability_corporation; minority_owned_business; native_american_owned_business; self_certified_small_disadvanted_business; small_business; special_designations; us_owned_business,14478646.57,naics_541512,True,https://www.usaspending.gov/recipient/17db4433-7581-a56e-ff3f-62a94306d305-C/latest
2026-07-01,"LEISNOI PROFESSIONAL SERVICES, LLC",N14DPDAU18H4,118115839,16045e20-fab1-75a3-4b38-954d83c2d776-C,ANCHORAGE,AK,99503,"LEISNOI PROFESSIONAL SERVICES, LLC",8a_program_participant; alaskan_native_corporation_owned_firm; category_business; corporate_entity_not_tax_exempt; historically_underutilized_business_firm; minority_owned_business; native_american_owned_business; self_certified_small_disadvanted_business; small_business; special_designations; us_owned_business,14358632.80,naics_541512,True,https://www.usaspending.gov/recipient/16045e20-fab1-75a3-4b38-954d83c2d776-C/latest
2026-07-01,ADVANCED NAVIGATION & POSITIONING CORPORATION,TXANNMGHB6N5,003459299,c051c694-3fba-156b-29e2-0df07623ec7b-C,HOOD RIVER,OR,97031,ADVANCED NAVIGATION & POSITIONING CORPORATION,category_business; corporate_entity_not_tax_exempt; manufacturer_of_goods; small_business; special_designations; us_owned_business,14338975.09,naics_541512,True,https://www.usaspending.gov/recipient/c051c694-3fba-156b-29e2-0df07623ec7b-C/latest
2026-07-01,RIVERSIDE ENGINEERING LLC,JBKGB64VRMH6,080292131,0b19e4e4-bf1e-773b-a5c6-59683d308e14-C,ANNAPOLIS JUNCTION,MD,20701,BOOZ ALLEN HAMILTON HOLDING CORPORATION,asian_pacific_american_owned_business; category_business; economically_disadvantaged_women_owned_small_business; joint_venture_economically_disadvantaged_women_owned_small_business; joint_venture_women_owned_small_business; limited_liability_corporation; minority_owned_business; partnership_or_limited_liability_partnership; self_certified_small_disadvanted_business; small_business; special_designations; us_owned_business; woman_owned_business; women_owned_small_business,14233470.40,naics_541512,True,https://www.usaspending.gov/recipient/0b19e4e4-bf1e-773b-a5c6-59683d308e14-C/latest
2026-07-01,CREATIVE IT SOLUTIONS LLC,DSHBDPKJC569,079414233,c433e797-379b-f44f-fe65-f227f90e6a99-C,OKLAHOMA CITY,OK,73106,CREATIVE IT SOLUTIONS LLC,8a_program_participant; category_business; corporate_entity_tax_exempt; government; indian_native_american_tribal_government; limited_liability_corporation; minority_owned_business; native_american_owned_business; self_certified_small_disadvanted_business; small_business; special_designations; tribally_owned_firm; us_owned_business,13791456.47,naics_541512,True,https://www.usaspending.gov/recipient/c433e797-379b-f44f-fe65-f227f90e6a99-C/latest
